id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
UNI_2__D_TRANSFER__HAIR,UNI,2,,,D,TRANSFER,,,HAIR,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIR FAS,UNI,1,,,D,TRANSFER,,,HAIR FAS,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIR SALON,UNI,1,,,D,TRANSFER,,,HAIR SALON,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIRCARE,UNI,1,,,D,TRANSFER,,,HAIRCARE,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIRDRESSING,UNI,1,,,D,TRANSFER,,,HAIRDRESSING,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIRSPA,UNI,1,,,D,TRANSFER,,,HAIRSPA,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HAIRSTYL,UNI,1,,,D,TRANSFER,,,HAIRSTYL,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__HANBAOBAO,UNI,1,,,D,TRANSFER,,,HANBAOBAO,,,,,,,,,,,,5814,5814,
UNI_1__D_TRANSFER__HANDBAG,UNI,1,,,D,TRANSFER,,,HANDBAG,,,,,,,,,,,,5699,5699,
UNI_1__D_TRANSFER__HOAGIES,UNI,1,,,D,TRANSFER,,,HOAGIES,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__HOBBY,UNI,1,,,D,TRANSFER,,,HOBBY,,,,,,,,,,,,5945,5945,
UNI_1__D_TRANSFER__HOLISTIC SPA,UNI,1,,,D,TRANSFER,,,HOLISTIC SPA,,,,,,,,,,,,7298,7298,
UNI_1__D_TRANSFER__HOSPITALITY,UNI,1,,,D,TRANSFER,,,HOSPITALITY,,,,,,,,,,,,7011,7011,
UNI_1__D_TRANSFER__HOSTEL,UNI,1,,,D,TRANSFER,,,HOSTEL,,,,,,,,,,,,7011,7011,
UNI_1__D_TRANSFER__HOTEL,UNI,1,,,D,TRANSFER,,,HOTEL,,,,,,,,,,,,7011,7011,
UNI_1__D_TRANSFER__HOTELS,UNI,1,,,D,TRANSFER,,,HOTELS,,,,,,,,,,,,7011,7011,
UNI_1__D_TRANSFER__HOTELSCOM,UNI,1,,,D,TRANSFER,,,HOTELSCOM,,,,,,,,,,,,7011,7011,
UNI_1__D_TRANSFER__HYPER MART,UNI,1,,,D,TRANSFER,,,HYPER MART,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__HYPERMART,UNI,1,,,D,TRANSFER,,,HYPERMART,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__ICE CREAM,UNI,1,,,D,TRANSFER,,,ICE CREAM,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__IPERAGORA,UNI,1,,,D,TRANSFER,,,IPERAGORA,,,,,,,,,,,,5499,5499,
UNI_1__D_TRANSFER__ITALIAN RES,UNI,1,,,D,TRANSFER,,,ITALIAN RES,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__IZAKAYA,UNI,1,,,D,TRANSFER,,,IZAKAYA,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__JAPANESE REST,UNI,1,,,D,TRANSFER,,,JAPANESE REST,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__JAPANESE RSTN,UNI,1,,,D,TRANSFER,,,JAPANESE RSTN,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__JEWELERS,UNI,1,,,D,TRANSFER,,,JEWELERS,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELL,UNI,1,,,D,TRANSFER,,,JEWELL,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELLER,UNI,1,,,D,TRANSFER,,,JEWELLER,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELLERS,UNI,1,,,D,TRANSFER,,,JEWELLERS,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELLERY,UNI,1,,,D,TRANSFER,,,JEWELLERY,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELRY,UNI,1,,,D,TRANSFER,,,JEWELRY,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JEWELS,UNI,1,,,D,TRANSFER,,,JEWELS,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__JUICE,UNI,1,,,D,TRANSFER,,,JUICE,,,,,,,,,,,,5812,5812,
ISR_2__D_TRANSFER__KAFE,ISR,2,,,D,TRANSFER,,,KAFE,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__KAFENEI,UNI,1,,,D,TRANSFER,,,KAFENEI,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__KAFFE,UNI,1,,,D,TRANSFER,,,KAFFE,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__KEBAB,UNI,1,,,D,TRANSFER,,,KEBAB,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__KEBABS,UNI,1,,,D,TRANSFER,,,KEBABS,,,,,,,,,,,,5812,5812,
